year,interest
2004,4.5
2005,4.666666666666667
2006,4.75
2007,3.083333333333333
2008,3.4166666666666665
2009,4.416666666666667
2010,5.333333333333333
2011,7.166666666666667
2012,10.666666666666666
2013,14.25
2014,18.666666666666668
2015,20.58333333333333
2016,19.666666666666668
2017,22.08333333333333
2018,24.33333333333333
2019,23.25
2020,39.5
2021,36.75
2022,46.5
2023,61.0
2024,56.333333333333336
2025,62.375
